,sadness Tweets
271,Sir you must keep yourself in the  situation  of students and you will understand the mental disturbance the  Covid19  has createdI want to ask one question to ICAI if there are sufficient beds available for treatment of  COVID19  patients in IndiaI think attempt must be cancelled
272,India   PM Modi will address the nation at 1000 hrs tomorrow 14th April  last day of the 3 week national  lockdown   Likely announcement of the  extension  of the  lockdown  to the end of the month
273,A good thread on confusing UK stats on  COVID19  and what that says about government getting a grasp of the  situation   https twittercomEdConwaySkyst atus1267856088449323010   …
274,Similar  situation  as my husbands co’workers mom They ended up not testing her postmortem bc she was already gone  wanted to save tests for ppl still alive Family agreed bc they saw it as hopefully helping another family get testing So her death was never counted as  Covid19
275,Life seems to be returning to normal after a long time in the pandemic  situation  this is the main campus of Sakarya University COVID19  turkey2020  SaüKampüs  FridayMood pictwittercomDyL3VUWS2z
276,Well couldnt even agree with decision of govt to conduct boards ryt now especially wn  covid19  is at its peak in our country and especially chennai  situation  is morever grave We nvr pulled the curve down No expectations only hoping fr mercy from god  Situation  is already bad
277,WHO has estimated roughly 23000 SAcans will die of  covid19   and our estimates stands at 40000 maybe to some people this is a sick joke until it affects one of their immediate families Very soon we’ll be in similar  situation  like US created by arrogant Trump
278, realDonaldTrump  should be fired for allowing 80000 Americans to die of COVID19  because of his total incompetence in handling the  situation 
279,Every1 knows the  situation  is terrible  What intitiatives  I predict this  IK We are in a difficult place please help  WEF  But u brought it upon urself  IK  Sind  WEF Good God Fine well help coz we dont want ppl to die  IK I win  covid19  CoronaInPakistan https twittercomPakPMOstatus 1262970790569443330   …
280, JioCare  After recharging with a hefty amount the internet service is more pathetic than  COVID19  in my area pin code 700056 Jio is making fun with the fellow customers in lockdown  situation 
281,Cong party is doing everything to create chaos and disruption They have first instigated labourers to go back just to fail the  lockdown its criminal conspiracy against country and gov Cong party is  extension  of pindi in  India   https twittercomANIstatus126 1891172332494849   …
282,Covid19  like  situation  can arise at any time  Today there is  covid19  tomorrow could be something else  Hiding the failure to provide good health care behind your address Dilli ke logo is bad and make other to feel discriminated It is abuse of federalismArvindKejriwal
283,Youre entitled to brag if the  situation  wasnt so serious You called it months ago to the mans face I vividly remember your concern for passengers and TfL  employees alike SadiqKhan  just stood there fartfaced no change there  gmb  tfl  COVID19
284,PM narendramodi  holds 5th meeting with State Chief Ministers via video conferencing on COVID19   situation   IndiaFightsCorona  TogetherWeCan pictwittercomZRZVn6hEv6
285,Plz sir lockdown the country again Day by day  covid19  cases is increasing To break the chain of covid we have to follow lockdown again we dont want  situation  like Italy and America in Indian narendramodi  drharshvardhan  HMOIndia  ArvindKejriwal  NitishKumar  BJP4India
286,Feeling very emotional today I cannot believe this has been Thomas’s last sports day HawthornPrimary  thank you for making the best of a difficult  situation  I’ve been so sad that year 6 are missing out on so many things COVID19  yearsixleavers  missingoutonmemories
287,Under MBuhari  the federal Republic of Nigeria is having a loselose  situation  while writing the poorest story of failure ever seen in any democratic history  The only thing carrying us through right now in this uncertainty is our unyielding resolve as citizens   COVID19
288,Is the  situation  you find yourself in with  COVID19  causing you Anxiety or Depression   Download this free ebook authored by John McConnel of BrahmaKumarisUK   https bitly34Eg3dK        http peopledevelopmentmagazinecom   pictwittercomvqfCzM35DT
289,This is few and far between On certain wings they are not even allowed access to cleaning products on a daily basis let alone deep cleans of 3hours This is not a true reflection of the  situation   misleading  hmpparc  covid19
290,It is shocking  SanjayDhotreMP  sir please help in the mid of the  covid19  crisis we also have a  situation  for our medical studies which need ur attention  please help
291,Despite the fact that he himself is disabled Abbot has 0 empathy for others in similar  situation  it seems often because it’s just too costly for govt  his biz pals it seems So if this is so he’d put  before humanity in his handling of  COVID19  But no people no economy Think
292,The real question is do the hospitals fake death certificates If you are a conspiracy theorist who doesnt think things are bad your mind seizes on the idea that they do covid19    Thanks Snopes for clarifying the  situation    httpswww snopescomfactcheckmed icarehospitalscovidpatients   …
293,RFEF recommends June 20 for La Liga to return and ends on July 26 given that the  situation  isn’t worse by  Covid19  Clubs will have to play two rounds every week for the competition to end on time cuatro  pictwittercomSMtHhYQsmH
294,Sometimes I feel like that we are in dream that I want to wake up soon I know this  situation  covid19  is stressful but I feel better when I call to my family members back in LimaPerú I love to hear their voices…  httpswww instagramcompCAdhUnHpW5 igshid142ad8bmk15vn   …
295,The Trump Admin based COVID19  planning on a model basically known to predict a bestcase scenario This is VERY DUMB Banking on bestcase outcomes is a recipe for failure in any  situation   httpswww politicocomnews2020042 4trumpcoronavirusmodel207582   …
296,During this difficult  situation  where the whole world is affected by  COVID19  this is not fare to take semester exams with 7000 cases in the state  We want general promotion      PMOIndia  chouhanshivraj  DrRPNishank  aajtak  abpnews  ndtv  rgpvspreadingcoronavirus
297,Today Im so tired There are a lot of stones has shipped from IN AT and HK And The  covid19   situation  here is getting better the number of new infection is 0 How about you I hope everything is back to normal soon Hope you are fine  I miss you
298,Turkeys COVID19   situation  as of today  Death toll 4340 total cases 156827  24589 tests have been conducted today 1141 new diagnoses and 32 died in the last 24 hours  So far 118694 have recovered 769 are in ICU and 385 are intubated    https twittercomdokuz8newssta tus1264564851478876161   … pictwittercomREXMyH6pz3
299,At one point India  Covid19  cases were doubling every 15 days Now down to 11 days Not a happy  situation   https twittercomShamikaRavist atus1258238370972459009   …
300,Ive started feeling that Asian people dont need so much to  lose sleep over  COVID19  after i saw the  situation  in Japan There must be a specific reason why there is such a huge gap in death rate between Asian countries and European countries
301,Its almost certain that  India  is going to go into a recession Troubled times for the country ahead  The worst part is our Opposition is so incompetent that it cant even educate the people that the disaster is because of the Unplanned  Lockdown  and NOT coronavirus lockdown3
302,1 point O 2 point O 3 point O  Most abused terminology in todays IndianPolitics  now Lockdown5  point O While  India  is still reeling with increase in COVID19  cases govt is calling for easing of restrictions Any guesses on whats next  httpswww googlecomampswwwnyti mescom20200529worldcoronavirusupdateamphtml   …
303, COVID19  Announcement from the UK tonight was a disgrace no clarity at all  pushes workers who will disproportionately be from lower income and vulnerable groups into an unsafe  situation  meanwhile the more privileged can WFH  exercise all they like
304,If its continue lke thsfinancial emergency can be takenMax State govt has a plan of  extension  of  lockdown  bt no way forward plan defined clearly to work on economy if State govt cant launch high revenue commodities thru online portal thn no use of digital  India
305,Everyone has off days I seem to be having one every two weeks We are responding to an abnormal  situation  in a normal way COVID19
306,Dear Sir PSCPL Patiala has asked all staff to come to office for work on all days in violation to Govt guidelines No social distancing and Sanitizer in offices No sanitization at all This will lead to further spread of  Covid19   Situation  pathetic Please look and Help
307,Price  situation  in Nepal  Major challenges for fiscalpolicy  and monetarypolicy  in the COVID19   situation   pictwittercomFcDc5Hv4FU
308,When I became aware of COVID19  when China opened its famous hospital these facts were known  Only a fool would downplay the gravity of the  situation …  The 100K deaths in the US and 50K deaths in the UK are the result of foolish politicians downplaying this threat
309, EdNgirente  rwangombwajRW  RwandaEdu  RwandaParliamnt  PaulKagame   12 Dear Great leaders we appreciate what you hv done to make Rwanda stable in this bad  situation  caused by  COVID19  but we Lecturersteachers who hv been teaching in private schools from primary to
310, Disappointment  I10 water issue is not resolved It’s a shame and big question for our Government  We have been hearing water issue  scam from yearsSpecially in month of Ramdhan   COVID19   situation  Government  should step in and take immediate action before it get worstPTI
311,People may troll Edapaddi for his straight forwardness but that man did better than anyone else Never hide about cases death and he always revealed truth in front of media So we should also cooperate with them in this  situation  to fight  covid19 
312,A  situation  analysis surveys 86657 people in NE Nigeria re  COVID19  awareness humanitarian aid disruption if they take protective measures etc and does not disaggregate by gender So we have no data on differences in realities and perceptions bw women and men Im tired
313, narendramodi  govt is attacking dissenting voices and labour rights under the cover of COVID19  response Covid19India  Lockdown2  India  Cartoon by rebelpolitik   pictwittercomw3hJ2OjOaS
314,Maharashtra Deputy Chief Minister Ajit Pawar says state government will soon announce financial package to steer the state out of present economic crisis caused due to COVID19   situation  news agency PTI
315,Or more died from BLM and Antifa riots than the  COVID19   I think so but this isn’t fact  I am only surmising the  situation   I guess I should shut up 
316,Truth After 4 phases of  lockdown   India  recorded more than 105K cases yesterday The fake relief package of 20 lakh crore couldnt save the economy  now  Unlock  10 is taking the crisis at a level where we are gonna suffer more  more ModiBetrayedIndia  Meanwhile  Modiji pictwittercomxPKjPAyBm6
317,I am completely against this  lockdown   extension   They had 40 days time to plan things with expertise restart the economic activities  Lockdown  is not at all the solution to contain the virus 15 yr of  lockdown  is required can  India  afford this for this long IndiaFightsCorona https twittercomkhanumarfasta tus1256211417050476544   …
318,In the midst of the COVID19  pandemic there is a widespread impression that nature is getting a break as people are forced to stay home Unfortunately outside urban areas the  situation  is very different  httpswww weforumorgagenda202005 covid19coronaviruspandemicnatureenvironmentgreenstimulusbiodiversity   … pictwittercomJ2mKsksqTT
319, BREAKING   பச்சை மண்டலங்களில் 50 பயணிகளுடன் பேருந்துகளை இயக்க மத்திய அரசு அனுமதி   Covid19   India   Lockdown3   CoronaVirus
320,Dude you’re delusional or totally blinded by mainstream propaganda President Trump went ALL IN to save New York during  COVID19  while your two whiny leaders ignored the  situation  for a month  NYC was great but unless POTUS steps in your decades away from recovery  https twittercomDavMicRotstat us1268032509926834178   …
321,Close Friends n Relatives expressing condolences to a Family at Delhi who lost their dear one due to Covid Even they are not able to Come out of the Cars to ExpressShare the grief Pls take care it’s a sad  situation    ChinaLiedPeopleDied   COVID19   StayHome   Condolences pictwittercomI5duvRztpn
322,Please help the 00000s on the edge due to the loanchargescandal    This a drastic  situation  what with COVID19   We have lost our jobs and still being hounded for HUGE demands from HMRC Please help with the many with Open years that HMRC are threatening bullying treating us
323, NITIAayog  Sir as we have written to your good office is their any progress on you advising the govt of India authorities the suffering  BURDEN on SENIOR CITIZENS about 18 GST on HEALTH INSURANCEKindly help in this WAIVERTodays  situation  is much worse with the given  COVID19
324,As expected the  situation  is getting worse each day In the last 24 hours there have been more than 2000 new deaths due to  covid19  in India This is terrible scary and worrying trend for us We still have time to take tough decisions on this Every life is precious
325,Bangladesh going under critical  situation  I dont know why Govt Reopen shopping mall and garments industry Its the worst discission Fact COVID19  lockdownextension
326,35 of participants had a work placement cancelled or delayed as a result of COVID19 Students in work placements are sometimes paid  therefore a cancelled or delayed work placement could also impact their financial  situation   https bitly3glEwdo    canlab  cdnpse pictwittercomirpph8TZEx
327,governors forced assisted living facilities to take  covid19  patients  it proved distatrous deaths skyrocketed u need to hold those governors accountable not Kemp  Abbott  DeSantis they did not have bad policies the  situation  has gotten better its time to reopen
328,At least 8 people have died and hundreds are sick after the VizagGasLeak  incident today morning Workers were preparing to reopen the plant today after the COVID19  lockdown   PM narendramodi  and HM AmitShah  are monitoring the  situation   Vishakapatnam  VizagGasTragedy pictwittercomMijKaRjty7
329, Ola  will lay off 1400 employees due to the worsening coronavirus  pandemic even after its senior management had already taken significant salary cuts to avoid such a  situation   CoronavirusOutbreakindia  Lockdown4  Covid19    https yourstorycom202005olala ysoff1400employeesrevenue95percentcoronavirusbhavishaggarwal   …
330,Same  situation  in US which leads them  to having more cases Its also possible to die with  covid19  and not die of it So cause of death is not as easy and simple to determine as we may think
331,Is the  situation  you find yourself in with  COVID19  causing you Anxiety or Depression   Download this free ebook authored by John McConnel of BrahmaKumarisUK   https bitly34Eg3dK        http peopledevelopmentmagazinecom   pictwittercom1LffcPICkQ
332,LIVE   India  sees nearly 11000 cases 396 deaths in a single day  COVID19  Unlock  coronavirus    Catch all the latest updates here  https mybsin2YNwrKL471   pictwittercomeEKLx3B62F
333,Getting numb on the numbers now Just aware of the  situation  and on with my day COVID19  coronavirus  singapore httpswww straitstimescomsingaporeheal th533newcovid19casesinsingaporeincluding3singaporeansandpermanent   …
334, Covid  Lockdown2  LT lost Rs 12000 cr of billing during the  Lockdown  YashJain88  reports CNBCTV18Live  CNBCTV18News  India  economy httpswww cnbctv18cominfrastructure ltlostrs12000crofbillingduringlockdownmiddleeastprojectstobedelayedceo5765961html   …
335,The  situation  between Indian  and Chinese  forces along the LineofActualControl  We note the Indian Army has announced that 20 soldiers lost their lives we offer our condolences to their families US  State Department Spokesperson  instagramdown  COVID19  QueerEye  QPR  Usa pictwittercomXvBnfdzUsF
336,1114  “Black and Brown youth not only have to deal with COVID19  and deaths and illnesses in their families like many others but also the added levels of Economic injustice and at home situations that are not ideal This has always been our  situation ”
337,Are these storiesofthepast  Covid19  means we need to reassess our own  situation   thank Him Only Allah  will remove Coronavirus   We seized each for his sin   storm of stones  blast  earth to swallow  drowned they who were wronging themselves Quran  2940  YQGems
338, zoomin  can you answer this  Which one will happen first A  Covid19  vaccine  B Zoomin order delivery   If you are not able to deliver then plz cancel order  if printing not done I know  situation  is different but if you can not deliver then please do not take orders
339, Brazil  becomes a global epicentre for COVID19  as political turmoil hampers medical response  A lot of people are going to die until we solve the political  situation  says health expert coronavirus  COVID httpswww cbccanewsworldbra zilbecomesaglobalepicentreforcovid19aspoliticalturmoilhampersmedicalresponse15581246   …
340,Dear Leaders of Bihar  We all r aware about the Migrant workers  situation  in our country due to  Covid19  My question isY our govt is unable to provide the employmentfor migrant labours  NitishKumar  laluprasadrjd  yadavtejashwi  employment  MigrantLivesMatter  MigrantWorkers
341,Humbly requesting you to extend the validity of 30 day entry vignette for people who are unable to travel to UK from  India  due to  lockdown  and restricted flight serviceswould really appreciate if you could help us with this  extension 
342,Manuela Mendoza a DC street vendor has 5 grandchildren  5 children Nobody can work due to COVID19  MayorBowser  why can’t you help Manuela says they are in a “desperate  situation ” DontExcludeMe  NoMeExcluye pictwittercompcwR9HvChZ
343,They single handedly are responsible for  extension  of the  lockdown  which seems likely now   Shouldnt they pay a price for this Nothing less than a hefty fine jail term will do   Infact their community Maulanas  should also be asked to pay a fine for putting  India  at risk
344,It appears that the Telangana  government is underreporting COVID19  data Doctors  argue that the  situation  on the ground is much more dire than what the govt wants people to believe India  is where Freedom   Truth  goes to die A total scandal https thewireingovernmenttel anganacovid19underreporting   …
345,Dear       Respected Sir please open normal international flight as soon as possible Because my company given exit in job Before two month ago staying here we have in room  My personal money is finish that  situation  Sometime We live hungry in time  Covid19  please open flight
346,UPDATE 17 MAY 2020 900 PM  94835 confirmed Covid19  cases in  India  6329 new cases in the last 24 hours  Most number of cases recoveries and deaths in the last 24 hours 5 states with 5000 cases  CoronaVirusUpdates  COVID19india  IndiaFightsCorona  Lockdown4   pictwittercomdjg5o9HwcU
347,“While the  situation  is overall bleak it remains exceptionally desperate for refugees and migrants stuck in Libya” MarwaLFJL  explores how COVID19  disproportionately affects migrants and refugees in Libya  in our series with openDemocracy  httpswww opendemocracynetennorthafric awestasialockednoescaperefugeesandmigrantslibyafacebombsvirusandeverythingbetween   …
348,Actually watching the welsh news for a change6 COVID19  deaths today Laughable what’s in place to manage  situation  Enjoy the time off as we will be raped by the government for many many years to cover this mess
349,As the neighbors kids we were sent to make sure the main house and the lowest house are not in a similar  situation  African proverbs 10over10   TeargasOnNRG  COVID19  
350,I am a former UN unama employer currently lives in Turkey I live with my family and two disabled sons Unfortunately I am currently in a bad economic  situation  I ask the United Nations to help me  in this difficult  situation  from  covid19   hope support me
351,Dear Sir HardeepSPuri  Why people are being forced to reschedule their bookings on cancelled AirIndia  flights until 31Aug only while there is no visibility of any improvement in COVID19   situation 
352,Govt has become helpless No one is bothering if u get  covid19  Hospitals are denying from admitting covid positive patients This unlock 1 will bring a tsunami of infection  Situation  is getting worse day by day Take care of ur loved ones stay at home if u can
353, COVID19  führt beim Bezahlen zu veränderten Gewohnheiten „Selbst die Deutschen die überwiegend bargeldorientiert waren bewegen sich zum digitalen Bezahlen hin“  der Trend dürfte sich durch die aktuelle  Situation  beschleunigen  cashless  payments https bitly2ZnKe8G  
354,Since in last 1 week  India  ahead from 10th to 6th place for No Of  COVID19  Cases This is Unlock1  Effect Sad To See Govt Really Not increased Testing Rate in  Lockdown  period BhavreenMK  SonaliVaid  SanjayVINC  DrShaabz  MonikaThakrar  kalpeshravals  LuvDatta  pooraanINC https twittercomBramhRakshass tatus1268938317527052289   …
355,With  increasing  covid19  cases  situation  in Goa is getting worst day by day We request Goa University to cancel all its pending exams including PG final year  and award the student with  respective degree for the safety of student NSUIGoa  goacm  GoaUniversity  advcoutinho
356,Does side effect really matter for someone who will eventually die and they are offering himher a trial wont heshe take it first That is exactly the  situation   covid19  has place the world Survive first and we will talk about anything that comes up later
357,As  India  enters the 4th week of lockdown  homeless in the capital city Delhi  are still grappling for basic necessities – food water and shelter Heres what the report says  Coronavirus  CoronavirusLockdown  Lockdown2  Covid19   httpswww moneycontrolcomnewsindiacor onaviruspandemicnocountryfordelhishomelessamidlockdown5150621html   …
358,Sir to save few lakhs ppl u want destroy 130 cr ppl life as  lockdown  extends after April 14th india  lost 10  lakh crore after  extension  so will goi loose 1 lackh crore to save lives of farmers every year Why thir life is not important only  corona  virus patients life is
359,All the states in  india  will take some strict actions against the people who were roaming in this 19days  lockdown  period From today to April 20 its going to be tough time for all the Indian citizens Lockdown2  3May  Lockdownextention  IndiaLockdown
360,My baby girl was born 9 12 weeks ago and she needs a hip scan which was booked and canceled by letter only blaming  covid19  When she will have it and also other babies in my area in the same  situation  bbcyourquestions  BBCNews
361,Even tried at PCMC Office also At  COVID19 mhpolice link their is no option for people like us those who wants to travel in different district for medical equipment maintenance Please help An application snap attachedMaintenance is req of COVID  situation   pictwittercomdjzf4hnEyV
362,« triggered by the Covid19   situation  US and European banks are expected to book more than 50bn of charges on bad loans in the first quarter of 2020 » Banking  IFRS9  CECL  Accounting  Risk  Regulation  provisioning  CFO   https blogslseacukbusinessreview 20200513banklossprovisioningrulesaconvenientscapegoatinthecovid19crisis   …  via LSEforBusiness
363,You know that people take Hydroxychloroquine  for many years to treat Rheumatoid Arthritis and Lupus This specific  situation  is all patients have COVID19  which is killing them all in different ways from not breathing and low O2 cytokine storm multiple organ failure etc
364,Bhai Jagtar Singh had already completed his prison times He had been locked up since 26yrs He is also having spinal injuries and problems but no treatment till now has been done and there also a great danger to life during this pandemic  situation  of  covid19 So please do justice  pictwittercomMdKs05jHBy
365,With all this protesting and rioting so much for social distancing And I’m not being inconsiderate to the  situation  because y’all know I want those cops dead to be honest But it is what it is this second wave is bout to be crazy JusticeForGeorgeFlyod  COVID19
366,Due to certain arbitrary rules by SBI Bank New Alipore senior citizen like us feeling extremely uncomfortable at this  covid19   situation  In my case I unable to furnish my 15H form yesterday since on reaching I was told to come commencing 1st July2020 but no prior intimation 
367,The sad thing about this whole ban  situation  is we have politicians that say they care for us that is why this ban is happening yet they had 3 decades before  covid19  to contribute to the profession with nothing to show for it Now they let us rot  NotoHCWDeploymentBan
368,Recovery rate in Indore is over 64 now Positive cases are reported but more people are recovering With the cooperation of the public the  situation  here is under control now Madhya Pradesh Chief Minister Shivraj Singh Chouhan COVID19   pictwittercomGlKCTPArQQ
369, LyndaBennettNC  what’s your thoughts and position on the  COVID19   situation  you don’t mention it much
370,Almost whole world is in  covid19  when people will learn who to behave in this  situation  if you are affected our could affected At first instance there should not be such a big gathering Administration should be accounted for
371,The current Covid  situation  has left many in a state of despair  Jobs have been lost Lives have been lost With the aid of your donations GRF are distributing essentials to the needy Please continue to support our  Covid19  project and helpustohelpthem   https globalrahmahorgcoronavirusap peal   … pictwittercom8F4JwHzwqL
372,India  and  lockdown  Painful to see millions of poor migrant workers walkings miles to reach home  Lockdown  has already claimed many innocent lives Image Credit Alka Lamba  India   Lockdown4  lockdown  lockdown2020 pictwittercomv8CSCQ7UW6
373,Please extend the  lockdown  I’m begging you narendramodi  drharshvardhan  NBirenSingh     India  Central Govt to take decision on  lockdown   extension  soon 7400 c  https youtubeAwO3jPrNttA    via YouTube
374,In the global response to Covid19  people with disabilities  are forgotten about and left behind And the stakes aren’t low this is a life or death  situation  Sign our petition to end disability  discrimination  httpwww sightsaversorgcovidcampaign    EqualWorld  SightsaversPol
375, आशारामजीआश्रमद्वाराकोरोनासेवाकार्य  is a recommendable work done by disciples of Sant Shri Asharamji Bapu in this critical time period of lockdown  Many needy people are getting food and grains in this worst  situation  of Covid19 
376,Higher crude oil prices and COVID2019   lockdown   extension  across states weighs on Dalal Street Sensex drops nearly 500 points Nifty fails to hold 9000   Details at 9 pm on  India  Biz Hour   ShereenBhan pictwittercomH8Dk8FNm0u
377, Coronavirus  COVID19  LOCKDOWN  businessline   Rumours about  extension  of  lockdown  beyond April 14 are false Govt of  India  Source PIB
378,Prime Minister narendramodi  holds a meeting with the Chief Ministers of States through video conferencing on COVID19   situation 
379, India    could soon return to Malaysia    for PalmOil    as COVID19  pandemic   situation  in Indonesia    gets worse httpswww theedgemarketscomarticleindia couldsoonreturnmalaysiapalmoil   …
380,remember other countries were smaller aaround 110 population so easier to manage   India  is different Indian mentality is different people will celebrate  unlock  as if  corona  vanished from planet  govt should manage bread butter for 34 weeks  completely  lockdown  country
381,Very disappointed in fedex  Ordered flowers from 1800flowers  far in advance of my anniversary only to get a “shipment pending” status update at almost 9pm on the day of I understand the current  situation  with COVID19  but that is exactly why I ordered early Come on
382, Barclays India  cuts the  India  growth forecast to 0 for calendar year 2020 after Lockdown2  till May 3 Earlier reacting to 3week  lockdown  it had cut growth estimated from 45 to 25 It pegs economic loss at 81 of GDP For 2021 its forecast 08 down from 35
383,What is the actual problem with the migrant workers Is it possible that  India  will  never Open from Socalled  Lockdown  WHY government not understand actual problem Why government not Announcing next planning for Ending of  Lockdown  or how long  extension  of  Lockdown 
384,SRK TRUST which conducts free courses to poor students and arranging job for their livelihoodthe  Due to  COVID19  We are facing monetary problems to provide salary to our staffsWe kindly request all patrons to help us to manage this critical  situation   WhatsApp  9943490032
385,Coronavirus Hoax Members of Brazil’s Parliament Broke Into Hospital that Claimed to Have 5000 Infected  200 Dead from  COVID19  – The Hospital Was EMPTY  How Many Other Places around the World Have the Same  Situation    https stillnessinthestormcom202006corona virushoaxmembersofbrazilsparliamentbrokeintohospitalthatclaimedtohave5000infected200deadfromcovid19thehospitalwasempty   …
386,2 graphs One country did  COVID19  right and the other US who had the WORST COVID RESPONSE ON EARTH  Winning  KAG  Other countries have ZERO virus whearty economy we are headed into SECOND SHUTDOWN w200000 deaths by fall HORRIBLE  situation   pictwittercomB2s4TXCBes
387,Many Marathi ppl stranded in Dubai UAE in current  Covid19   situation  but there is no any VandeBharatMission  flight to any city of Maharashtra This is very sad  we want to back Maharashtra as soon as possible Sachink789  DevFadnavis  muglikar  SidShirole  CMOMaharashtra
388,Where is Dr Fauci with his ominous warnings I had COVID19  It was a mild cold I lost my smell  taste A lot of these protesters are young Herd immunity will probably work in this  situation
389,Sir I request you to consider keeping less tax on fuel to reduce burden on Indian  people in  covid19   situation  COVIDNewsByMIB   IndianOilcl  BPCLimited
390,Are you an employer hoping to bring back staff that cant work from home macmillancancer  is offering guidance on how to best support people living with cancer  whilst navigating the COVID19   situation  as well as their support and treatment in workplaces  https buffly3cmEMq7   pictwittercom1SdqaIWlDt
391,During this catastrophic period of  Covid19  someone is apparently not getting enough attention  Seriously minister you make this announcement as though school boards or teachers unions are against these things theyre not  Youre just causing trouble in a difficult  situation 
392,A  COVID19  case has been detected in Rein Basera across Aiims hospital That’s the Place migrants stay when they come for treatment These ppl are being sent to villages In this  situation  migrants need to be screened before they are sent ArvindKejriwal  AamAadmiParty
393, आशारामजीआश्रमद्वाराकोरोनासेवाकार्य  is a recommendable work done by disciples of Sant Shri Asharamji Bapu in this critical time period of lockdown  Many needy people are getting food and grains in this worst  situation  of Covid19   pictwittercomGvvjsOVrD2
394,Lockdown  in  India  is like the Fast and Furious series You think this is the last one but it keeps coming back Lockdown4
395, nsitharamanoffc  nsitharaman  RBI  PMOIndia   Im an Asst Professor working in a Pvt College Due to this  covid19   situation  My college dismissed me Im from a lower middle class family but I dont expect govt to spoon feed me All I request is to extend the emi moratorium
396, TwitchCon  SanDiego  was awesome last year Im really bummed out that theyre canceling this year I was really hoping that COVID19   situation  might be better by the end of September    https twittercomTwitchConstat us1273664538253148160   …
397,I was just stating the  situation  as I perceived it  I was NOT expecting any Republicans to take any responsibility at all for the consequences of their actions  I do understand that COVID19  effects both parties  I accept that NHGOP  will blame NHDems  for whatever goes wrong
398, anilvijminister  cmohry  BK Hospital Faridabad unable take samples for  COVID19  patients Staff said there shortage of staff and advised to met CMO FBD Asked to come on 24 Jun  Situation  is worst in BK Hospital
399,The current COVID19   situation  may cause you to feel anxious stressed sad bored lonely or frustrated Its important to remember that it is OK to feel this way and that everyone reacts differently For tips visit the EveryMindMatters  website   httpswww nhsukoneyoueverym indmatterscoronaviruscovid19anxietytips   … pictwittercom8RIBJFouli
400,Oxygen therapy and beds are becoming a challenge now because other wards have to be sacrificed for  COVID19  cases The  situation  is getting out of hands now You need staffs to take care of other cases and beds and oxygen for other cases as well We ought to wake upJoySMS
401,The universal concept of  Test  Trace  Isolate seems not to be working in SouthSudan  If one part is broken the entire chain is compromised with serious consequences Our medical experts need to put their heads together and reassess the current  situation  COVID19
402,India is appreciated the way it has handled the  COVID19   situation  worldwide Our PM has already mentioned that now we are not reliable on anyone we have to become atamnirbar  we will very soon promote our own Indian products We will say no to China products  app BowDownChina
403,Sad news of the day  USA  Covid19  WeAreInThisTogether  RIP  we’ll definitely overcome this  situation  soon  https twittercomhtTweetsstatu s1266010341965733889   …
404, AmphanAftermath  Now everyone is tensed about the amidst pandemic  situation  of CORONA  COVID19   but WESTBENGAL  AND ODISHA  is also suffering from Amphan  Please pray for BENGAL  n rest of INDIA 
405,Sir u r talking abt businessSir  Covid19  is too difficult to handle Come to Bengal and see the  situation  there is no contact tracing nothing
406,Sometimes I feel that this  Covid19   situation  is going to push peoples minds to the brink if it doesnt get contained soon Riots will grow all over the world The poor may actually eat the poor COVID19  coronavirus
407,Its also insulting to USDA  farmers  plant employees to suggest that they want to euthanize hogs   Thats millions of dollars they are destroying Its a last resort  situation  because they literally have no one left to work  COVID19  is in every single plant in the country
408,What worries me is Corona complacency a large  of society have dropped their guard Demonstrators beauty spots beaches parks etc people have broken the rules An ill disciplined society that will result in many more  covid19  deaths The government are in a no win  situation 
409,Ill be honest it is STUNNING me how many people I now interact with as a person of privilege I simply assumed had some real world experience with or tangential relationship with poverty But this  COVID19   situation  has alot of yall telling on yourselves
410, BREAKING   Khurdha subdivision to remain under 16 hrs shutdown between 2 pm and 6 am everyday till June 30 in view of COVID19   situation  in the district  OdishaFightsCorona
411,We wish to do the same to the Taxi drivers whos suffer in this  situation  of  covid19   pictwittercomOLJaOE5Hzv
412, qrsupport  are you seriously charging 180€person for flight cancellations through travel agency despite  covid19   situation 
413,India  cannot fight against  Corona  Virus with a single weapon of  Lockdown  theres a need of proper roadmap exit plans financial package CoronavirusOutbreakindia  Lockdown3
414,The coronavirus pandemic continues to rip through Afghanistan further exposing the vulnerability of the precarious state Combined with political bickering and corruption the country is facing a dire  situation  covid19    httpswww fairplanetorgeditorspickt oxiccocktailofbitterpoliticscorruptioninafghanistanutmmediumSocialutmsourceTwitterEchobox1589198319   … pictwittercomaoJBeor2Bq
415,In this kind of  situation  exams are not much important than lives Most probably lakhs of student will attend the exam in case if one person is suffering from covid19  all will be effectedcancelPTUexam  IKGujralPTU    captamarinder   VijayIndrSingla  HRDMinistry   AICTEINDIA
416,These people facing difficulties and these people who creates problems in this pandamic  Situation  of  Covid19   You should take action against them beacuse for money they pretend the poor people to follow their rules because these peopleare uneducated HelpOverseasPakistani
417,There are people out there who are trying to force Boris to ease the Lockdown  situation   If he does some of the same people will blame him if  covid19  numbers start to increase Boris and his fabulous team should just ignore these doom and gloom merchants
418,Corona  virus cases continue to increase in  India  unabated This is really a matter of concern Time for second  lockdown  is closing near Further  Extension  of  lockdown  is no solution Poor  homeless are suffering  Lockdown  in selective areas need of hour Lockdownextention
