,fear Tweets
153, Covid19  Coronavirus flattens personal finances One of the most harrowing statistics indicates that over 77 of participants were worried about their financial  situation  as a result of the coronavirus pandemic  https brakpanheraldcozalnn1057434co vid19coronavirusflattenspersonalfinances   … pictwittercomlWVvoAIJLm
154,Its a gigantic dip bring about that preclude our indian economy for the long run coz of  Covid19  LOCKDOWN To overcome from this  situation  liquidity is obligatory that GOI do capital infusion to buttress our economy have fingers crossed and hang on for the utopian era
155,They make them wait here for hour and that can lead to spread of this virus threw delivery Very disappointing and scary  situation  HamiltonPolice  CityNews  cityofhamilton  JustinTrudeau  McDonalds   COVID19  Hamilton  superspread  scary pictwittercomZIMsN0AvME
156,The rule is simple We never put our teachers in a dangerous  situation  COVID19  schools  auspol https twittercomemmanuelmacron status1257674831895638023s21   …
157,A3 Many tobacco and ecig users can develop lung diseases reducing the chances of fighting viral infections that attack the respiratory system This  situation  makes smokers at a higher risk for covid19  SaludTues https twittercomSaludAmericas tatus1270405188847796225   …
158,“If the  situation  persists… we might have to downsize further to survive”   httpswww todayonlinecomsingaporerest aurantbossesfearbandiningbusinessbrinkcollapseXsXaUsKRpUYtwitter   …  via TODAYonline  Covid19  Covdi19Singapore
159,As a Student Of UOK I wish to tell you that we all are facing a very serious COVID19   situation  as a result many students are in red zone areas They are no Goverment transport vehicles working the city How will they attempt the exam noexamuok  ashokgehlot51  SachinPilot
160,Then you are one of the reasons COVID19  continues its spread in Ill  the midwest I look to history  the SpanishFlu  for my understanding of this  situation  Yes I blame trump  and his failure to manage the threat Covid preferring golf over leadership ironically also in Fla
161,Be a leader don’t be a follower  You know what is right for you and in the present  situation   saving yourself should be your priority and most imp of all don’t panic 934days  saveyourself  covid19  bankerswe
162,Donnie while you are fighting ghosts in the shadows hurling insults and playing with your military toy solders the COVID19   situation  in most of USA is in serious trouble  You are fiddling while COVID  in the USA is going to cause many deaths  Get busy FOCUS  and manage
163,Nope Have to prove that your loss of income was caused by  covid19  for the wage subsidy Ours was caused by the drought Slightly affected by  covid19  with the cullmeat works  situation  but that in itself didnt cause the more that 30 reduction in income
164, StudentsLivesMatter   We are not afraid of choice we are afraid for only the Current  situation  Facing all Try To realise What The  situation  We are inDayday increasing the cases We first Focus on To Reduce the cases Covid19    CancelPYClgExams  VNarayanasami  LGovPuducherry pictwittercom3ixm2bcSYU
165,COVID19 is a serious health threat and the  situation  is evolving daily Do your part to flatten the curve coronavirus  covid19  torontopolyclinic  tpc  pandemic  healing  healthcare  medicalhealth  together …  httpswww instagramcompCA5hBHPJyk igshid187692a46l257   …
166,Health of students is a matter of concern amid this COVID19situation  Conducting any entrance examinations in this period is full of danger Authorities should revise their decision of conducting exams DrRPNishank  PMOIndia   postponejee  postponeneet   HealthOverExams
167, NeighbourFirst  wala Modiji always search for panic  situation  of his good neighbour Nepal to attack be the neighbour in Earthquake Pain or  Covid19  Pandemic What next Namo Mitro
168,This COVID19  is a scam Yes its around but nothing to be more scared than human stupidity  Everyday people in CBD and sokos  are not respecting the so called social distancing or wearing   if what internet pundits said was trueNairobi  situation  should be worse than Italy
169,I fear the harm from Covid19  will provide Tory hardliners with a way to divert blame from NoDealBrexit  Alas this gives them incentive to mishandle  Covid19   situation
170,Never been a big piersmorgan  fan but his take and questioning on this  situation  is spot on Disgusting that our Gov are too scared to answer him COVID19
