,tentative Tweets
169, india   was wrong on 21march  to establish  lockdown  or now  to open even malls and panshops in  India   unlock1  lockdown  Unlock  10th may it was complete  lockdown  in Ahmedabad not even vegetables allowed 17th may pan shops are open What c
170,My new tropicalhouse  house track Caipirinha is coming soon Release is scheduled to May 29th but might be delayed due to the  Covid19   situation  Stay tuned
171,Even tried at PCMC Office also At  COVID19 mhpolice link their is no option for people like us those who wants to travel in different district for medical equipment maintenance Please help An application snap attachedMaintenance is req of COVID  situation   pictwittercomdjzf4hnEyV
172,My abbu just got lucky    Muhammad Nihari launched their tin packaging which is practical in so many ways  Given the Covid19   situation  I strictly went under lockdown for 3months now which included no outside…  httpswww instagramcompCBLBUJDAnh0 igshidrnq2supq57hr   …
173,I dont need to show you anything I made a statement I said cops are literally not safe anymore Rocks thrown at them water bottles filled with urine etc EVERYONE is against them The black teen I dont know the  situation  Cops have been killed as well also injuredCOVID19
174,Obama was thrown into a terrible  situation  in this country nobody talk about the jobs he created health care that TRUMP dismantled task force that were in place to stop NUMEROUS diseases from catchin a blaze like  covid19  or how people just felt safe to walk outside
175,RHU Coordination   PSMS Loreta F Llona PCAD PNCO during coordination with RHU personnel on May 25 2020 at about 1100 am reupdate on  COVID19   situation  in the area  pictwittercom4nV9OLp2C9
176,If you think your  situation  might be changing soon please remember that you may have to repay the CERB if you earn employment or selfemployment income earlier than expected Find out more  http owlys0Cc30qFZ6s    COVID19  CdnTax  22
177,Due to the current changing  situation  and reduced workforce Its likely there will be delays in processing some cases and therefore we are unable to provide any timescales  We are taking steps to prioritise applications for Critical Workers in relation to the  COVID19  pandemic
178,What about  lockdown   extension  in  india
179, IndiaFightsCorona   Learn more about home isolation for the management of suspectedconfirmed COVID19  cases  Watch to understand better at  https buffly3cDjpB4     CoronaOutbreak  SwasthaBharat  HealthForAll  Lockdown4  PMOIndia  drharshvardhan  AshwiniKChoubey  PIB India
180,Almost whole world is in  covid19  when people will learn who to behave in this  situation  if you are affected our could affected At first instance there should not be such a big gathering Administration should be accounted for
181,httpswww paypalmeanyleth    31 weeks pregnant and unfortunately unemployed due to  covid19   situation  since early March Any help is a blessing 
182,Lockdown  will extend across  India  till 3 May Keep in mind the reason behind this  extension   TablighiJamaat  April15Suspense  lockdown
183,I cant actually see how the move of his organizations charter for tax purposes makes the slightest difference to him regarding the  COVID19   situation   Like its already been said its not as he lives in any longer in NYC anyways
184,Now that 3rd May is coming around de discusion is becoming classist of sorts Libtards say a class ppl want  extension  coz dey can afford it 13  Corona  CoronavirusLockdown  CoronaUpdate  coronavirusinindia  india  covid  Covid  19  COVIDIOTS  COVID2019india  COVID19Pandemic
185, India    could soon return to Malaysia    for PalmOil    as COVID19  pandemic   situation  in Indonesia    gets worse httpswww theedgemarketscomarticleindia couldsoonreturnmalaysiapalmoil   …
186,PM has not announced any  extension  of  lockdown  officially to the country than Who r u to announce it this like  U r just a head of municipality like state not President of  India 
187, PMOIndia   Here in China work permit office asking me why  India  government not arranging important documents like passport and they are not responsible for like this delay and donot want any further excuses like this as they already given 21 days  ext
188,So if someone’s terminally ill we’re allowed to kill them now Am I reading this  situation  right COVID19  CovidKills
189, lockdown  extended across  India  until 3rd May Lockdownextention  Lockdown2  CoronaUpdatesInIndia  COVID2019india  COVID2019  coronaupdatesindia https twittercomPMOIndiastatu s1249920964004950016   …
190,India  may see first contraction in 40 years on  lockdown   extension   https economictimesindiatimescomnewseconomyi ndicatorsindiamayseefirstcontractionin40yearsonlockdownextensionarticleshow75158559cms   …
191,During this catastrophic period of  Covid19  someone is apparently not getting enough attention  Seriously minister you make this announcement as though school boards or teachers unions are against these things theyre not  Youre just causing trouble in a difficult  situation 
192,Understood MattHancock  Now I know if I or my partner goes down with COVID19  we can jump in the car and drive north from London I guess he’s got zero support in the city Thanks for clarifying the  situation  
193,Such an interesting read by katehartley  as to why the public may not be responding to communications to stay home In a  situation  where one feels invulnerable is there anything you can communicate to convince them otherwise  BlitzSpirit  COVID19    https polpeocomwhydopeople floutthelockdownguidelineslessonsfrom1940   …
194,Anyone knows whats the  situation  of  covid19  in siliguri northBengal  siliguri  COVIDー19
195, TwitchCon  SanDiego  was awesome last year Im really bummed out that theyre canceling this year I was really hoping that COVID19   situation  might be better by the end of September    https twittercomTwitchConstat us1273664538253148160   …
196,The current COVID19   situation  may cause you to feel anxious stressed sad bored lonely or frustrated Its important to remember that it is OK to feel this way and that everyone reacts differently For tips visit the EveryMindMatters  website   httpswww nhsukoneyoueverym indmatterscoronaviruscovid19anxietytips   … pictwittercom8RIBJFouli
197, Lockdown  extended in  India  till May 3   IndiaFightsCorona  LockDown2  lockdownextension  coronavirus  covid19  thetoothplace  drkbskuckreja  IndiaFightsCOVID19 pictwittercomiGjQlCTcsb
198,Hi Due to the current changing  situation  and reduced workforce it is likely there will be delays in processing some cases therefore we are unable to provide any timescales We are taking steps to prioritise applications for Critical Workers in relation to the  COVID19  pandemic
199,A1 Portugal   COVID19   situation  can change any time People are still getting infected  dying Last update for tourists here  https bitly2XmBiyG    Restrictions for travel suppliers are so strict capacityhygiene  some choose not to open yet Tourists should wait ttot
200,Ill be honest it is STUNNING me how many people I now interact with as a person of privilege I simply assumed had some real world experience with or tangential relationship with poverty But this  COVID19   situation  has alot of yall telling on yourselves
201,Even  covid19  is hopeful  situation    I see more opportunities created during this pandemic
202,There are people out there who are trying to force Boris to ease the Lockdown  situation   If he does some of the same people will blame him if  covid19  numbers start to increase Boris and his fabulous team should just ignore these doom and gloom merchants
203,IndiaArie Breathe  https youtube8vbsi5dyOE    via YouTube  Despite what you may be going through during this time of uncertainty Continue To Breathe Never make a permanent decision in a temporary  situation   For this too shall pass COVID19  Pandemic  ObamaGate
204,Coronavirus cases continuously increasing Daily cases over 8000 in  India  But Government celebrating its 6 years Hundreds of Migrant Workers died during  Lockdown  some death due to Hunger some accident   Still railway services in  India  are worst during  Lockdown  Lockdown5
205,Too often I suspect gloomy predictions on how long or how likely a response to a crisis might take ignore the ability of govts organisations businesses acads engineers etc to produce extraordinary responses to an extraordinary  situation  COVID19
206,“I hope the intervention did not have too much of an impact because it most likely made the  situation  worse…We could open up again and forget the whole thing»  Epidemiologist Knut Wittkowski on the deadly consequences of lockdown  COVID19  coronavirus httpswww spikedonlinecom20200515we couldopenupagainandforgetthewholething   …
207,ModiShah can also be foolish just like making irrevalant statements like we will become superpower and shit due to  Covid19  baseless impractical if you know the ground  situation  of businesses effected here
208,Although I am hoping for the best and want everyone involved in these upcoming cards to be safe I am also thinking that this resumption could be temporary depending on how things go with testing and the general  situation  with this virusCOVID19  Boxing
209,Some shops open on Tilak Road many ppl moving around meeting gathering of Tilak Road and Odean No social distancing followed even outside Banks  Area Ghatkopar East  Situation  getting out of hand   ParagShahBJP  mybmcWardN  chhedapravin  MumbaiPolice    Covid19  Mumbai pictwittercomh5vlGHEHa5
210,Mothers or parents single or multiple but u ever been a  situation  where u couldn’t do let’s say laundry for 2 weeks maybe three cuz of covid19  parts got delivered to the area not sure how but watever then rush delivery the other parts still took a week but
211, UNICEFEducation   I lost my job  and now due the  Covid19  hope of finding any job looks is weakOur  situation  becomes dire each day This has resulted in my family suffering from the fear of losing our home and not being able to provide food or diapers for my children
212,Its mental he should WANT to update and provide comfort to the nation about the  situation    But instead he seems to hide from the problem COVID19   pictwittercomMZFUNkJ9m1
213, Nebenzia  We urge Palestinians  and Israelis  to continue coordination on fighting COVID19  pandemic We share concerns about possible consequences of the disease spread in GazaStrip  But even without the pandemic humanitarian  situation  in Gaza is dire  http bitly2ToU99W   pictwittercom9iJpgaHDVj
214,Lockdown  has been extended but now its on us we want any exceptions in  lockdown  or not We will definitely win Hoping after 3 may  there would be no COVID  case in india   Lockdown2   IndiaFightsCorona  COVID2019
215,I think ongoing deal of purchasing two jets for PM at cost of arnd 8500 crores may be postponed and said amount may be deposited to PMCaresFunds   I hope narendramodi  ji understand the  situation  and he will agree to this COVID19India  Covid19india  COVID19  lockdownindia
216,Are u really a Finance Minister or get this post due to any reservation or quotaWhen almost whole  India  is  lockdown  still no  extension   in filing gst return for febuary month Govt has forgotten it seems  people are expecting stimulus package from this govt
217,With the current  situation   further easing of lockdown in recent  coming days are we now at more or less risk from Covid19 than before What about other factors are you more likely to get the disease if you are a violator or a key worker COVID19  4
218,Hope is being able to see that there is light despite all of the darkness  Desmond TutuThe devastation that has been caused by the  Covid19  pandemic may have cast a dark cloud around us but we must remain hopeful that this  situation  will be behind us soon Stay safe
219, BridgetOtoo  I guess you need to do this guy a fav by creating a Gofund acct or any means of donating funds to help his  situation  Only you can do this to get a desired result Scammers plenty for this app BlackLivesMatter  StaySafe  covi̇d19  is real maskupGhana
220,Nice metaphor Except we didnt have 6 and a half years to prepare for COVID19   Any criticism back then would have been justified Except there wasnt any Because folk back then appreciated the gravitas of the  situation   Unlike like todays shower of liberal cnts    boris
221,Is anyone else in the vulnerable group as I am but have a spouse who is not and so although my individual  situation  has not changed Im staying in and alert feel the sadness of holding someone back        stayingalert  COVID19  coronavirus  lockdownuk  thanksboris
222,Lockdown  extended till May 3 in  India  Lockdown2
223,Im back at work sitting at my desk wondering if the 20 paycut I took just to keep my job is worth the likelihood of bringing COVID19  back home to my family I despise the government for putting me in this  situation  Hospitality  HospitalityIndustry  CoronaVirus  MAGA
224,Sounds more like a  covid19   situation  to me
225,You did nothing but got in the way with MORE LIES about  COVID19  The governors smartly handled the  situation  on the ground while your daily press briefing created more confusion YOU ARE NO MANAGER OR LEADER TrumpPandemicFailure pictwittercom3XkxM3iiiP
226,Gujarat Testing 5 May 4984 6 May 5559 7 May 5362 8 May 4833 9 May 4264 10 May 3843 11 May 2977  We are getting nearly avg 375 case everyday with testing reducing consequently The  situation  is alarming but Govt of Guj is on damage control mode   COVID19  coronaupdatesindia
227, narendramodi  PMOIndia  CMOMaharashtra  DevFadnavis  sardanarohit  AmitShah  AnilDeshmukhNCP  rajeshtope11   If such a  situation  happen in treatment we didnt think any body will come to check covid test and it will spread faster than anything WeSupportMalegaonagainst   covid19 pictwittercomG4sIaOcMvF
228,When healthcare  systems become overwhelmed solutions needed quick  executed in span of days or weeks not months Canada s avoided drastic  situation but if virus  spikes in Fall officials have plan create temporary hospitals   https thebigstorypodcastca20200512av erycanadiansolutiontoaproblemwellhopefullyneverface   …  COVID19  cdnpoli
229,PM extends  lockdown  till May 3 lauds nation for its “we the people of  India ” spirit IndiaFightsCoronavirus  Lockdown2
230,Situation  in Pakistan  during  Covid19  Confused government policy  https youtubey6q3VObd8A    via YouTube
231,In jmiuofficial  hostel authorities r going to  unlock  or break the lock of the rooms  Almirah to sanitise when most of us left crucial belongings in hostel rooms before  lockdown  or recently Safety of our belongings ugc india  ndtv  HRDMinistry   JamiaStopHarassingStudents
232,If u want to travel just put an BJP  BJP4India  TAG  TAKE UR NEAREST BJP MLA SUPPORT THATS IT U CAN TAKE HUGE GROUP WITH U ANY WHERE N India  coz I heard some group of ppl travels frm Maharashtra  to kashi wow how lucky R there common what R U waiting for Lockdown2  lockdown
233, narendramodi  PMOIndia  AmitShah  ArvindKejriwal  Dear Sir In this  situation  of COVID19  lockdown  some companies are firing to some staff without any notice or information I have a humble request to you please make some law for the security of private employees
234,I’m selling some goods due to current  situation  if anyone wants to check them out please DM me for further info RT  appreciated COVID19  PSVita  ThrowbackThursday  LimitedRun  ForSale  VitaIsland  PS4  FinalFantasy7Remake  FinalFantasyVIIRemake pictwittercomNwVawu0nAp
235, Poetry  PoetrySoup  Covid19  CoronaVirus  GroceryStore  Song  Terrible  situation  but hope this song provides some levity  httpswww poetrysoupcompoemspoetspo emsbypoetreadaspxID28741   …
236,This whole corona virus  situation  told me who will be friends with me even after i dont meet them for months   COVID19  COVID19India  CoronavirusIndia  RandomThoughts  REALITY  Realitycheck  Friends
237,JEOPARDIZE The act of putting something or someone in a dangerous  perilous  situation   Formality  7510 WordOfTheDay  vocab  KeepTheLockdown  lockdown2020  COVID19  COVIDー19  MarkZuckerberg  sambhajimaharaj  thursdayvibes  ThursdayMotivation  QuarantineLife  StayHome pictwittercomyJAjgTVJyM
238,I don’t think the police intends to kill anyone here I am more worried about the spread of  Covid19  in this  situation
239,Check out our latest aditions to the collection I nice retro  look mama  design  shirt   Were open as usual worldwide shipping orders might be slightly delayed due to COVID19   situation    mom  mommy …  httpswww instagramcompCADikGbjpG3 igshidsyjf5cempz6   …
240, ArvindKejriwal  could not manage the COVID19   situation  and made a mess of everything Big disappointment Hope now our national capital will be back on track soon with the effective measures taken by central government
241,Due to the current changing  situation  and reduced workforce it is likely there will be delays in processing some cases and therefore we are unable to provide any timescales  We are taking steps to prioritise applications for Critical Workers in relation to the  COVID19  pandemic
242,Or they could be taking advantage of the  covid19   situation  India isnt the only country to have borders tested in recent weeks
243,guthriegrouphms  gives some advice on whether or not you should be making your mortgage payments in light of the COVID19   situation    Watch below for some helpful tips   https bitly3dCr0Af    mortgage  forbearance
244,Hi it just the way they enforce how they deal with covid19   situation  in the store i find some and I say some staff members can be hostile rude when they talk to customers
245,Dear BeinSports  Regarding our subscriptions   They should be extended after we didn’t watch anything because of Covid19   situation   beINSPORTSEN
246,I am starting to believe  COVID19  is poverty  eradication program as it is more deadly for Humans below poverty  line and average ones they are dying without even contacting the virus amid the pandemic   situation 
247,I do not know what to believe anymore and I have lost faith in this government long ago the  situation  is becoming worse daily They are yet to convince us on  situation  of  Covid19  They do not tell us the truth in Nigeria the government does not even care about us
248, IndiaFightsCorona   Respect do not reject the COVID19  survivors Let us not discriminate or stigmatize any patient in the name of  COVID  19    CoronaOutbreak  SwasthaBharat  HealthForAll  Lockdown3   MoHFW INDIA   pictwittercomXpCxCDbwa0
249,other countries 0 cases of  covid19  stable  situation  poland haha almost 600 new cases in one day haha
250,I am curious if there are any labs biology chemistry physics mathematics psychology sociology computer science biochemistry zoology botany art history that DONT work on COVID19  The current research  situation  seems like a mixture of opportunism hysteria  pretense  https twittercomdavidacoilsta tus1263147798754541568   …
251,InfografikCovid19    Situasi terkini setakat 15 Mei 2020  Infographics Covid19    Situation  update as of May 15 2020  pictwittercomOJ322IKCWX
252,was expecting the market to bleed due to political crisis but the  situation  seems alright  Covid19  sentiment is stronger haha
253,Some news about  lockdown   extension  in Tamil Nadu  India   pictwittercomnusmdh6AKv
254,A thread on all the confusion contradictions and just plain lies about the entire SARSCoV2  COVID19  Coronavirus   situation   pictwittercomUHbeZDxD5K
255,India  may see first contraction in 40 years on  lockdown   extension   https52588125220200415 india mayseefirstcontractionin40yearson lockdown  extension 
256,What a year this 2020 isAll were doing is just waiting for PM at 8pm to announce what will be our lifestyle for upcoming few daysThe Harsh realitybut happy that weve a leader who can take on any  situation  whatsoever Good luck Mr Prime minister COVID19  Lockdown4
257,Lockdown  in  India  extended till May 3 announces PM Modi  PMOfIndia  PMOIndia  BreakingNews  StayHome  StayHomeChallenge  StayAtHomeSaveLives  Lockdown2  lockdowneffect
258, COVID19  is creating SubSaharanAfrica ’s worst social and economic crisis since World War II – and sovereigndebt vulturefunds  could make the  situation  even worse warns dannybradlow  of UPTuks   https bitly36fkjBi   pictwittercom46PC0dHVVx
259,Covid19  Situation  Desk –  7 May 2020 AM  COVID19   https dougleschancomcovid19situa tiondesk7may2020amcovid19   …
260,So the Possibility of India Getting Western Sympathy in this COVID19   Situation  seems to go in tatters  https twittercomhtTweetsstatu s1273579030898290688s19   …
261,Many people still not realize  this is a crisis  situation  why some people still asking for gathering in some ways as if this is a normal  situation   please stop being selfish or ignorant personCOVID19
262,Lockdown  30 Around 150 liquor shops likely to open in Delhi from today  Lockdown3  Lockdown2  IndiaFightsCoronavirus  India  Delhi  LiquorShops httpswww businessstandardcomarticlecurren taffairslockdown30around150liquorshopslikelytoopenindelhifromtoday1200504002211htmlutmsourceSEOutmmediumRM   …
263,Right now we just see  covid19  infection numbers as just numbersesp in Lagos May we not get to a time when people will begin to just drop dead on the streets Before we appreciate the dire  situation  we r in 183 in Lagos CoronaVirusInNigeria
264,When you ask questions from Paytm  founder about firing of its employees in COVID19  epidemic   situation  he answer you by blocking you from following him or tagging him in any tweet Job  Firing  Corona  JobLoss   Jobs pictwittercomwPuWdy4IwI
265,Just imagine  situation  of who have difficulties and also Migrant workers In dream it was almost night We were stranded in different city transport shut for the day Searching for place to stay The helplessness covid19  lockdown  karnataka  gocoronago
266,Theres HOPE after this  covid19 this pandemic  situation   https youtubeJVw2mHmx4    via YouTube
267,Lockdown  will be extended across  India  till May 3 PM Narendra Modi   Lockdown2   PMModi
268,If we had done even some of fairly basic stuff on homelessness and police reform we would not be in anything like the  situation  were in now More space for COVID19  response Less looting All sorts of diffs But here we are
269, LockdownExtended    India  announces  extension  of  Lockdown  period till 31 May 2020  Lockdown4   pictwittercompAVkm5pUiI
270,Due to the  extension  of nationwide  lockdown  announced all flights now flying within  India  and those taking off or landing in  India  between 4th May 2020 to 17th May 2020 stand suspended For the same
271,I think we should credit the central govt for handling this unprecedented  situation  of Covid19  so well Shortcomings can be found in just about anything in the world
272,Parents make the decision as to whether they will allow their children to enter a  COVID19   situation   any parent could be accused of child abuseneglect if their child contracted  Covid19 
273,A health crisis or public health crisis is a difficult  situation  or complex health system that affects humans in one or more geographic areas  How is  COVID19  not a health crisis
274,Can only hope that someone somewhere is using this crazy COVID19   situation  as inspiration for an epic piece of writing  or even a concept album 
275, COVID19  seems noida is heading towards a  situation  where underreported cases can create a havoc
276,One of the Wonder taj  tajmahal  Wonder  7wonder  WorldBestCM  IndiaFightsCorona  WorldHealthOrganization  lockdown  Lockdown2  agra  India   pictwittercomxy5cpl0GHX
277,“Yesterday” seems appropriate for our  situation  now Yesterday our troubles seemed so far away  then came Trump   Covid19  I long for yesterday
278, AirtelPresence   I have moved to my hometown due to the  COVID19   situation  and wont be using the Airtel broadband for some time I had requested for temporary disconnection but no proper response
279,With increasing number of  Covid19  cases rising in Uganda coupled with poor medical facilities across the country How shall we handle the  situation  Just wondering here
280,The increasingnumbers of the infected is becoming scary How on earth is the numbers going up instead of reducing Just wondering how it  will be handled in a worst  situation COVID19  StayHome  extendlockdown
281,Opinion It could be argued that  India  went into  lockdown  with the least amount of preparation and anticipation as the protests by migrants show But even in this period Mr Modi’s popularity remains intact says AakarPatel   COVID19  Lockdown2    https mybsin2YMS9Oc  
282,If one person gets infected it takes around 2 weeks for himher to cureduring this period they infect nearly 210 other ppl Considering the present  situation  its expected that in next 1215 days therell be around 30000 more cases Delhi Health Min Satyendra JainCOVID19   pictwittercomTnh7NBrU2J
283,Except contenment zones any activity can allow in other places ante literally lifted  lockdown  ama godbless  india  Unlock1
284, IMOHQ  UN  antonioguterres  The message from Indian administration is ClearWE DO NOT HAVE ANY GUIDELINES FROM IMO REGARDING STCW CERT  EXTENSION   Top 5 coronavirushit cities account for nearly 50 of  India ’s  Covid  19  cases   india  news 
285, Coronavirus   lockdown  extended till May 31 NDMA   Lockdown4  COVID19  COVIDー19  India  CautionYesPanicNo
286, IndiaFightsCorona   Don’t wait don’t hesitate Call the all  India  helpline number 1075 tollfree if you develop any symptoms suggestive of COVID19    HealthForAll  SwasthaBharat  CoronaOutbreak  Lockdown4   pictwittercomIdrFfmwOQl
287,India s coronavirus  lockdown  extended till 3rd of May Lockdown2
288,Extending  Lockdown  till 3rd May is a really good decision I support this as now Cases in  India  has crossed 10000 overall already  India  cannot take chance of ending the  Lockdown  right now  ModiMangalMessage  Lockdown2  3rdMay
289,India s  lockdown  extended till 3rd May An intelligent middle ground though better performing areas will be assessed after a week from now If passed they may partially go back  to generate livelihood India  Lockdown2
290,School management should understand about the critical  situation   covid19 
291, IndiaRevivalMission   COVID19  cases in  India  surge past 85000 beating China s record Death toll rises above 2700 While Maharashtra  recorded the highest number of deaths at 1000 across  India  What could be the contours of the Lockdown4  which may go on till May 31  pictwittercomXoCa49eVvp
292,LIVE Updated 19th May 2020  COVID  19  Statewise Status Update as per Govt of  India   IndiaFightsCorona   CoronaUpdatesInIndia  Lockdown4   pictwittercomUK5Zv5BTEW
293,Motorola Razor 2019  India  sale date once again postponed to May 6 post  lockdown   extension   https gadgetsunlockcommotorolarazor 2019indiasaledateonceagainpostponedtomay6postlockdownextension   … pictwittercomzmuj3qTw9a
294,It seems that government is not communicating plans to even those in local councils No communication leads to a messy  situation  by the end of it COVID19  BorisHasFailed https twittercomguardianstatu s1259562276123705344   …
295,We almost never heard  something related to the  COVID19   situation  in Russia here from Brazil It sounds like Russia wasnt affected by pandemic Communist are really dangerous to the world’s health care
296,With the current  Covid19   situation  working online can open opportunities for you more than you could possibly imagine Log in to  http Ajirycom    and find out more AjiryKe  AjiryinNakuru
297,India s disaster management authority seeks  lockdown   extension  to May 31 coronavirus  COVID2019 https newsfilterioarticlesindia sdisastermanagementauthorityseekslockdownextensiontomay31db061e69de92b25173f78f5e67df254b   …
298,Yo why are we asking actors how their character from a show 20 years ago would be handling lockdown What possible light could that shed on this  situation  COVID19
299,India is on the 4th position in the COVID19  tally  situation  seems to be worst in next few weeks the way it is increasing 10K cases per day it might be on 2nd or 3rd on the tally in the next few weeks this is dreadful COVID19India  LockdownFailed
300,JUST IN The Government of  India  extends nationwide  lockdown  till May 31   Lockdown4  COVID19
301,A friend of mine works for India post in madras She’s on the 3rd floor Someone on first floor got infected with  covid19  Someone from gov came and “disinfected” only ground floor Does that seem like an effective and thorough handling of the  situation 
302,Hmm think for yourself maybe The Floyd  situation  is so unusual and the timing so convenient for the FakeNews  narrative to create mayhem around the world  Since COVID19  didnt work out like they planned  But hey if you like your world stay in it
303,Lockdown  40  India  Under 68 Days  Lockdown  Extended Till 31st May LockdownExtended  LockdownExtended  lockdown4guidelines  Lockdown4point0  Lockdown4     httpswww hinditracklyricscombreakingnews lockdown40indiaunder68dayslockdownextendedtill31stmay13736   …
304,Beware In  India   Corona  Virus will move around from 9 PM to 5 AM till June 30th infecting anyone other than government officials or who has a pass IndiaNews24x7    COVIDIDIOTS  Covid19Updates  Lockdown5  IndiaFightsCorona  CoronaWarriorsIndia  Covid19
305,No sides being taken no comment on last nights address just an old fashioned yes or no poll  Please RT for as big a sample as possible  Is Boris Johnsons government doing a good job of handling the Corona virus  situation  in the UK  borisjohnsonspeech  COVID19  Coronavirus
306,Any of my fellow aspiring Irish home owners out there  I got AIP in February and Im not allowed draw down my loan due to receiving the COVID19 wage subsidy  Has anyone had any luck in this  situation   Covid  COVID19  coronavirus  irish  Ireland  AIP  Mortgage  Subsidy  wages
307,Lockdown  in  India  extended by another  19  days till 3rd May announce PM Modiji narendramodi  StayHomeSaveLives  Lockdown2   pictwittercomNzNflUDVGg
308,In jmiuofficial  hostel authorities r going to  unlock  or break the lock of the rooms  Almirah to sanitise when most of us left crucial belongings in hostel rooms before  lockdown  or recently Safety of our belongings ugc india  ndtv  HRDMinistry   JamiaStopHarassingStudents
309,May the 4th be with you    Lockdown2   PM Modi today extended  India  lockdown  till 3rd May Here are the highlights  httpswww moneycontrolcomnewsindiapm narendramodiliveupdatescoronaviruslockdownextendedapril30lockdownrelaxationspublictransporttrainsflightsbusesmigrantworkers5142051html   …
310,Increasing numbers of students say they feel overwhelmed by COVID19  unemployed parents falling behind academically no friend interactions or they might be trapped at home in an abusive family  situation  EdSource  reports on recent survey http owlyn1KV50zGkvb  
311, India  just announced Covid  19  Lockdown4point0  Travel distruption bureaucracy  strict enforcement of rules continues Hope the plight of migrants  doesnt go on  can remaining BritsABANDONEDinIndia  also be allowed to travel smoothly home UKinIndia  airindiain  Lockdown4   pictwittercom1RAwpyumSL
312, TataPower  please sort this goof up on priority this is a mental harrassment How is this bill possible in a 2 bhk flat residential property We do not want any harrassment as we already are stressed with the  Covid19   situation   https twittercomPrakhar9616140 7status1273465602951139329   …
313,India  Official Reports of Covid  19  as on 2nd May 2020   Mysuru  Lockdown3  CoronaUpdates pictwittercomFUaW10KMrl
314,This  situation  of infectious diseases is unlikely to change in the near future Owners of Arcades should change their structures or they risk having interruptions Today it is  COVID19  tomorrow another SARS or EbolaKCCAUG  KCCAED  use the time to advise building owners
315,For those who have been affected by  COVID19  layoffs  feel free to DM me with info about your  situation  and resume and I will try to get your resume to a HM in my connections I hope that helps covid19  jobsearching  InThisTogether
316,After 21 days of  lockdown  I dont know how I feel and what I miss what are you missing the most during this Quarantine   Lockdown2  coronaupdatesindia  COVID2019  India
317, IndiaFightsCorona   Learn more about home isolation for the management of suspectedconfirmed COVID19  cases  Watch to understand better at  https buffly3cDjpB4     CoronaOutbreak  SwasthaBharat  HealthForAll  Lockdown4   PMOIndia  drharshvardhan  AshwiniKChoubey  PIB India
318,Motorola Razr 2019  India  Sale Date Postponed Once Again to May 6 Post  Lockdown   Extension   https allweblinkcommotorolarazr 2019indiasaledatepostponedonceagaintomay6postlockdownextension   …
319,I guess it also doesn’t help with the current  Covid19   situation  we’re in but oh well
320,Out of 730 districts in  India  429 or close to 58 districts are affected with  corona  while 42 remain unaffected With some good careGovt should remove the  Lockdown  on May 042020narendramodi  Lockdown2  MeghaRara
321,PM Modis Address to the Nation on  COVID   19    Lockdown  Extended in  India  till 3rd May   Lockdown2   pictwittercomsC4SNmie3I
322,If  lockdown   extension  to june or july where the low class people or private job holder get the payment for EMI whose salary get stock by the organisation so please extend the moratorium atleast 3 or 6 months coz it doesnt know when  covid  19  will go from  india 
323,Pm narendramodi  just announced lockdown  extended in  india  upto 3 may ExtendTheLockdown  Extension  COVID2019  Lockdown2   pictwittercomYXG5vWiEG6
324,Get well soon ArvindKejriwal    What goes around comes around   ArvindKejriwal  Delhi  India  COVID19  coronavirus  Unlock1
325,Extension  of  Lockdown  in  India  for 2 weeks wef May 4 2020  httpswww mhagovinsitesdefault filesMHA20Order20Dt2015202020to20extend20Lockdown20period20for20220weeks20wef2045202020with20new20guidelinespdf   … https twittercomPIBHomeAffairs status1256214559897071622   …
326,Sometimes doing just ONE THING when things feel uncertain can bring a moment of calm  anthonyback  tells adrane  one thing he would recommend everyone do when facing a complicated health  situation  like COVID19   how it can be a beautiful moment of trust  love  looklovelift pictwittercomPR0OtxZD1D
327,Our battle against  COVID  19  continues   The Govt has extended  lockdown  across  India  till May 31 2020   Lockdown4
328,Not really smtimes decision r made w no malice intention a real exmp or question to b asked as well why usa isnt prohiting travel from usa to countries when its minhandling the  situation on scienceWHO w intl doctors know what to dooutsiders may b guessing covid19  china
329,Yup that was couple of years back but after COVID19   situation   conditions changed  true we shouldnt depend on any one
330, JamaMasjid  Likely to Close Again in View of Deteriorating  Situation  Due to COVID19  in Delhi  Says ShahiImam  CoronavirusOutbreak httpswww latestlycomindianewsjam amasjidlikelytocloseagaininviewofdeterioratingsituationduetocovid19indelhisaysshahiimam1813067html   …
331,Whts Covid19  Chembur   situation  like 
332,That was Portland no Or Seattle In those circumstances they should worry about hepatitis A more or if any of the homeless came from CA bacterial typhoid In any case  COVID19  is almost a certainty in that  situation  for some
333,I also think it is funny when people talk about survival rate for  COVID19     If AIDS had the survival rate of  COVID19  would you still knowingly sleep with someone and not take any precautions Or how would you feel if that  situation  was reversed
334,The current  situation  we are facing globally can be a difficult time Facing uncertain times and an uncertain future you may feel the same way – feeling hopeless stressed anxious or lonely You are not alone  ConfideIn  weareconfidein  confideinfamily  pandemic  covid19   pictwittercomgEQNzGzSwe
335,Nigerians are not protesting in the streets because of fear of getting shot at We are not protesting because we dont care about the  situation  or anyone else but our individual selves  Covid19  came and people still damned death and went out to find food We are fine being slaves
336, GBV  has long been the greatest threat to the security of women and other vulnerable groups around the world especially in conflictaffected areas COVID19  has only compounded this  situation  leading to it being labelled the “shadow pandemic
337,In jmiuofficial  hostel authorities r going to  unlock  or break the lock of the rooms  Almirah to sanitise when most of us left crucial belongings in hostel rooms before  lockdown  or recently Safety of our belongings ugc india  ndtv  HRDMinistry   JamiaStopHarassingStudents
